review_id,review_text,rating
1,I love this product! It works perfectly.,5
2,"Very disappointed, it broke after one use.",1
3,"Average quality, nothing special.",3
4,Excellent value for the price.,5
5,"Not what I expected, quite poor.",2
6,"Works great, highly recommend it.",5
7,"Terrible product, do not buy!",1
8,"Okay product, but could be better.",3
9,Amazing quality and fast shipping!,5
10,"Waste of money, very bad.",1
11,"Good product, satisfied with purchase.",4
12,"Mediocre at best, won't buy again.",2
13,"Exceeded my expectations, fantastic!",5
14,"Poor build quality, not durable.",1
15,"Decent product, does the job.",3
16,Love it! Will buy again.,5
17,Not worth the price.,2
18,"Really good, happy with it.",5
19,Bad customer service and product.,1
20,"It's okay, nothing amazing.",3
21,"Superb product, highly recommend!",5
22,"Defective item, had to return.",1
23,"Works as advertised, happy.",4
24,Disappointed with performance.,2
25,Fantastic! Five stars.,5
26,"Not great, expected better.",2
27,"Great value, good quality.",4
28,Very bad experience overall.,1
29,"Satisfied, meets my needs.",4
30,"Terrible, stopped working quickly.",1
